AK-47 | Aquamarine Revenge,Battle-Scarred,False,53,47
AK-47 | Aquamarine Revenge,Battle-Scarred,True,4,16
AK-47 | Aquamarine Revenge,Factory New,False,6,28
AK-47 | Aquamarine Revenge,Factory New,True,0,8
AK-47 | Aquamarine Revenge,Field-Tested,False,93,72
AK-47 | Aquamarine Revenge,Field-Tested,True,4,22
AK-47 | Aquamarine Revenge,Minimal Wear,False,26,59
AK-47 | Aquamarine Revenge,Minimal Wear,True,0,11
AK-47 | Aquamarine Revenge,Well-Worn,False,52,46
AK-47 | Aquamarine Revenge,Well-Worn,True,5,7
AK-47 | Asiimov,Battle-Scarred,False,60,55
AK-47 | Asiimov,Battle-Scarred,True,6,6
AK-47 | Asiimov,Factory New,False,5,10
AK-47 | Asiimov,Factory New,True,1,5
AK-47 | Asiimov,Field-Tested,False,203,179
AK-47 | Asiimov,Field-Tested,True,15,35
AK-47 | Asiimov,Minimal Wear,False,72,105
AK-47 | Asiimov,Minimal Wear,True,7,29
AK-47 | Asiimov,Well-Worn,False,23,26
AK-47 | Asiimov,Well-Worn,True,0,13
AK-47 | Baroque Purple,Battle-Scarred,False,241,426
AK-47 | Baroque Purple,Factory New,False,35,140
AK-47 | Baroque Purple,Field-Tested,False,650,1067
AK-47 | Baroque Purple,Minimal Wear,False,286,726
AK-47 | Baroque Purple,Well-Worn,False,404,526
AK-47 | Black Laminate,Battle-Scarred,False,8,22
AK-47 | Black Laminate,Factory New,False,0,8
AK-47 | Black Laminate,Field-Tested,False,8,148
AK-47 | Black Laminate,Minimal Wear,False,12,161
AK-47 | Black Laminate,Well-Worn,False,2,21
AK-47 | Bloodsport,Factory New,False,44,98
AK-47 | Bloodsport,Factory New,True,3,29
AK-47 | Bloodsport,Field-Tested,False,101,92
AK-47 | Bloodsport,Field-Tested,True,8,26
AK-47 | Bloodsport,Minimal Wear,False,54,71
AK-47 | Bloodsport,Minimal Wear,True,2,11
AK-47 | Bloodsport,Well-Worn,False,12,16
AK-47 | Bloodsport,Well-Worn,True,1,2
AK-47 | Blue Laminate,Factory New,False,138,726
AK-47 | Blue Laminate,Factory New,True,30,168
AK-47 | Blue Laminate,Field-Tested,False,197,636
AK-47 | Blue Laminate,Field-Tested,True,34,167
AK-47 | Blue Laminate,Minimal Wear,False,220,782
AK-47 | Blue Laminate,Minimal Wear,True,29,179
AK-47 | Blue Laminate,Well-Worn,False,10,61
AK-47 | Blue Laminate,Well-Worn,True,0,8
AK-47 | Cartel,Battle-Scarred,False,0,111
AK-47 | Cartel,Battle-Scarred,True,4,16
AK-47 | Cartel,Factory New,False,36,150
AK-47 | Cartel,Factory New,True,2,38
AK-47 | Cartel,Field-Tested,False,0,305
AK-47 | Cartel,Field-Tested,True,17,77
AK-47 | Cartel,Minimal Wear,False,148,205
AK-47 | Cartel,Minimal Wear,True,0,40
AK-47 | Cartel,Well-Worn,False,0,35
AK-47 | Cartel,Well-Worn,True,1,5
AK-47 | Case Hardened,Battle-Scarred,False,8,61
AK-47 | Case Hardened,Battle-Scarred,True,0,12
AK-47 | Case Hardened,Factory New,False,7,49
AK-47 | Case Hardened,Factory New,True,0,6
AK-47 | Case Hardened,Field-Tested,False,28,165
AK-47 | Case Hardened,Field-Tested,True,1,15
AK-47 | Case Hardened,Minimal Wear,False,12,148
AK-47 | Case Hardened,Minimal Wear,True,2,18
AK-47 | Case Hardened,Well-Worn,False,9,77
AK-47 | Case Hardened,Well-Worn,True,1,18
AK-47 | Elite Build,Battle-Scarred,False,633,2014
AK-47 | Elite Build,Battle-Scarred,True,100,263
AK-47 | Elite Build,Factory New,False,114,370
AK-47 | Elite Build,Factory New,True,18,115
AK-47 | Elite Build,Field-Tested,False,1478,2883
AK-47 | Elite Build,Field-Tested,True,256,405
AK-47 | Elite Build,Minimal Wear,False,909,1860
AK-47 | Elite Build,Minimal Wear,True,129,288
AK-47 | Elite Build,Well-Worn,False,1145,3147
AK-47 | Elite Build,Well-Worn,True,190,282
AK-47 | Emerald Pinstripe,Battle-Scarred,False,222,524
AK-47 | Emerald Pinstripe,Factory New,False,68,202
AK-47 | Emerald Pinstripe,Field-Tested,False,542,822
AK-47 | Emerald Pinstripe,Minimal Wear,False,225,523
AK-47 | Emerald Pinstripe,Well-Worn,False,410,568
AK-47 | Fire Serpent,Battle-Scarred,False,0,9
AK-47 | Fire Serpent,Battle-Scarred,True,0,2
AK-47 | Fire Serpent,Factory New,False,0,1
AK-47 | Fire Serpent,Factory New,True,0,0
AK-47 | Fire Serpent,Field-Tested,False,6,21
AK-47 | Fire Serpent,Field-Tested,True,0,2
AK-47 | Fire Serpent,Minimal Wear,False,1,4
